Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VOE23TA ;A319;Media;R;;28924;TRA3A   ;B738;Media;R;Misma_SID_G1;28924;0;0,311699961248983;3,28469955623185;3,2994557188349;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28928;TRA3A   ;B738;Media;R;Misma_SID_G1;28928;0;0,2380112294504;3,36625413416855;3,37465794431841;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28932;TRA3A   ;B738;Media;R;Misma_SID_G1;28932;0;0,197003531533404;3,41286784159666;3,41854900442297;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28936;TRA3A   ;B738;Media;R;Misma_SID_G1;28936;0;0,200019966719569;3,42930895658421;3,43513724715551;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28940;TRA3A   ;B738;Media;R;Misma_SID_G1;28940;0;0,232027738036354;3,4181974142964;3,42606340197038;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28944;TRA3A   ;B738;Media;R;Misma_SID_G1;28944;0;0,28412064930485;3,40242508524013;3,41426727190955;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28948;TRA3A   ;B738;Media;R;Misma_SID_G1;28948;0;0,36945874083964;3,3883156783485;3,40839887591301;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28952;TRA3A   ;B738;Media;R;Misma_SID_G1;28952;0;0,470421872792317;3,37781590913885;3,41041596501555;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28956;TRA3A   ;B738;Media;R;Misma_SID_G1;28956;0;0,593944897111928;3,38511451005991;3,43682568470142;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28960;TRA3A   ;B738;Media;R;Misma_SID_G1;28960;0;0,722839626868893;3,409687520601;3,48546497820796;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28964;TRA3A   ;B738;Media;R;Misma_SID_G1;28964;0;0,865349518859219;3,44078645214491;3,54793477942504;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28968;TRA3A   ;B738;Media;R;Misma_SID_G1;28968;0;1,01745707469444;3,48466627941302;3,63016776165013;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28972;TRA3A   ;B738;Media;R;Misma_SID_G1;28972;0;1,17613177906964;3,52900660017256;3,71983515035263;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28976;TRA3A   ;B738;Media;R;Misma_SID_G1;28976;0;1,3346941569352;3,57374730288204;3,81484970574381;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28980;TRA3A   ;B738;Media;R;Misma_SID_G1;28980;0;1,48897726037798;3,6126781353063;3,90749236611447;3.0;0;3;True; True ;True
VOE23TA ;A319;Media;R;;28984;TRA3A   ;B738;Media;R;Misma_SID_G1;28984;0;1,62696506777511;3,62850427095469;3,97656366428314;3.0;0;3;True; True ;True
