Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VLG3CP  ;A320;Media;R;Misma_SID_G3;72146;WMT424  ;A320;Media;R;Misma_SID_G3;72147;1;1,00214160473152;7,46648663309549;7,53343948260869;3.0;0;5;True; True ;True
VLG3CP  ;A320;Media;R;Misma_SID_G3;72150;WMT424  ;A320;Media;R;Misma_SID_G3;72151;1;0,872892316263165;7,67266176650198;7,72215511233312;3.0;0;5;True; True ;True
VLG3CP  ;A320;Media;R;Misma_SID_G3;72154;WMT424  ;A320;Media;R;Misma_SID_G3;72155;1;0,736984367670534;7,87692858696558;7,91133047738156;3.0;0;5;True; True ;True
VLG3CP  ;A320;Media;R;Misma_SID_G3;72158;WMT424  ;A320;Media;R;Misma_SID_G3;72159;1;0,60822192083554;8,07474026751825;8,09761472860161;3.0;0;5;True; True ;True
RYR33JW ;B738;Media;R;Misma_SID_G1;72434;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72435;1;0,998852572201891;3,73959051903156;3,8706903403689;3.0;0;5;True; True ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72438;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72439;1;0,903339798998761;3,85147962175652;3,95599773372797;3.0;0;5;True; True ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72442;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72443;1;0,825720978362309;3,94274819047537;4,02828479971369;3.0;0;5;True; True ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72446;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72447;1;0,775227870761945;4,01395623074692;4,08813195407855;3.0;0;5;True; True ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72450;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72451;1;0,736625174551872;4,0832126196843;4,14912544343174;3.0;0;5;True; True ;False
RYR33JW ;B738;Media;R;Misma_SID_G1;72454;VLG4LJ  ;A320;Media;R;Misma_SID_G1;72455;1;0,735261788096379;4,1255789299697;4,19058604546483;3.0;0;5;True; True ;False
