Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VLG21CW ;A20N;Media;R;Misma_SID_G1;58362;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58362;0;1,16341714913326;4,44037794643417;4,59022657479272;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58366;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58366;0;1,10631003100439;4,57922282515592;4,71093204002055;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58370;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58370;0;1,07391504227019;4,69114649644261;4,81246515363724;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58373;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58374;1;1,05653467480643;4,79813698103849;4,91304900892504;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58377;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58378;1;1,05811579770579;4,8853041538614;4,99854660177574;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58381;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58382;1;1,08465466026358;4,95568715270463;5,07296462012145;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58385;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58386;1;1,14776297130978;5,00759590376217;5,13741502657634;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58390;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58390;0;1,26975879901345;5,03635811541533;5,19392375934959;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58394;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58394;0;1,45428798967805;5,02711811883042;5,23321334012299;3.0;N/A;3;True; N/A ;True
VLG21CW ;A20N;Media;R;Misma_SID_G1;58398;VLG5BQ  ;A320;Media;R;Misma_SID_G3;58398;0;1,67002058716968;5,00390520505595;5,27519521884035;3.0;N/A;3;True; N/A ;True
