Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43376;DLH73N  ;A21N;Media;R;Misma_SID_G3;43376;0;0,737198641069266;6,35288117553242;6,395511009046;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43380;DLH73N  ;A21N;Media;R;Misma_SID_G3;43380;0;0,624492322610674;6,51329469021221;6,5431642484769;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43384;DLH73N  ;A21N;Media;R;Misma_SID_G3;43384;0;0,47809845207134;6,66138478931237;6,67851970433233;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43388;DLH73N  ;A21N;Media;R;Misma_SID_G3;43388;0;0,30823059760807;6,7911471851299;6,79813843573368;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43392;DLH73N  ;A21N;Media;R;Misma_SID_G3;43392;0;0,124520217025381;6,90345745145027;6,90458036874308;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43396;DLH73N  ;A21N;Media;R;Misma_SID_G3;43396;0;0,0926613123969311;6,982217246938;6,98283207604576;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43400;DLH73N  ;A21N;Media;R;Misma_SID_G3;43400;0;0,330147862713378;7,03065910109109;7,03840642525062;3.0;0;5;True; True ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43404;DLH73N  ;A21N;Media;R;Misma_SID_G3;43404;0;0,581087441207455;7,04635788904357;7,07027737184444;3.0;0;5;True; True ;True
DLH73N  ;A21N;Media;R;Misma_SID_G3;43552;VLG86KT ;A320;Media;R;Misma_SID_G3;43552;0;2,29632842414368;7,55513048703725;7,89639923684776;3.0;0;5;True; True ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43676;THY7DT  ;A21N;Media;R;Misma_SID_G3;43676;0;0,463001697518891;6,46957776930781;6,48612419592989;3.0;0;5;True; True ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43680;THY7DT  ;A21N;Media;R;Misma_SID_G3;43680;0;0,825508150050986;6,48087841784715;6,53324182720321;3.0;0;5;True; True ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43684;THY7DT  ;A21N;Media;R;Misma_SID_G3;43684;0;1,18838743311969;6,41853946418463;6,52762694587339;3.0;0;5;True; True ;True
