Plane 1; Type_plane 1;Estela 1;Clasification 1;SID 1;Time_1;Plane 2; Type_plane 2; Estela 2; Clasification 2; SID 2; Time_2; Interval time (s); Delta_U (NM); Delta_V (NM); Distance_between (NM); Minima_radar; Minima_Estela; Minima_LoA; Radar Condition; Estela Condition; LoA Condition
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43376;DLH73N  ;A21N;Media;R;Misma_SID_G3;43376;0;0,737198641069266;6,35288117553242;6,39546715320401;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43380;DLH73N  ;A21N;Media;R;Misma_SID_G3;43380;0;0,624492322610674;6,51329469021221;6,54312055397275;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43384;DLH73N  ;A21N;Media;R;Misma_SID_G3;43384;0;0,47809845207134;6,66138478931237;6,6784761322407;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43388;DLH73N  ;A21N;Media;R;Misma_SID_G3;43388;0;0,30823059760807;6,7911471851299;6,79809501443201;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43392;DLH73N  ;A21N;Media;R;Misma_SID_G3;43392;0;0,124520217025381;6,90345745145027;6,90453709272956;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43396;DLH73N  ;A21N;Media;R;Misma_SID_G3;43396;0;0,0926613123969311;6,982217246938;6,98278899098443;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43400;DLH73N  ;A21N;Media;R;Misma_SID_G3;43400;0;0,330147862713378;7,03065910109109;7,03836347253477;3.0;N/A;5;True; N/A ;True
VLG3BV  ;A20N;Media;R;Misma_SID_G3;43404;DLH73N  ;A21N;Media;R;Misma_SID_G3;43404;0;0,581087441207455;7,04635788904357;7,0702345707588;3.0;N/A;5;True; N/A ;True
DLH73N  ;A21N;Media;R;Misma_SID_G3;43552;VLG86KT ;A320;Media;R;Misma_SID_G3;43552;0;2,29632842414368;7,55513048703725;7,89634492339833;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43676;THY7DT  ;A21N;Media;R;Misma_SID_G3;43676;0;0,463001697518891;6,46957776930781;6,48607963326897;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43680;THY7DT  ;A21N;Media;R;Misma_SID_G3;43680;0;0,825508150050986;6,48087841784715;6,53319773819048;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43684;THY7DT  ;A21N;Media;R;Misma_SID_G3;43684;0;1,18838743311969;6,41853946418463;6,52758357035038;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43688;THY7DT  ;A21N;Media;R;Misma_SID_G3;43688;0;1,53234260472312;6,31973701462498;6,50281433174644;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43692;THY7DT  ;A21N;Media;R;Misma_SID_G3;43692;0;1,85434524419177;6,17772758248044;6,44999011706983;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43696;THY7DT  ;A21N;Media;R;Misma_SID_G3;43696;0;2,17035261816608;6,03058679237396;6,4092025534083;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43700;THY7DT  ;A21N;Media;R;Misma_SID_G3;43700;0;2,4852648932445;5,86817668909649;6,37271683490522;3.0;N/A;5;True; N/A ;True
VLG86KT ;A320;Media;R;Misma_SID_G3;43704;THY7DT  ;A21N;Media;R;Misma_SID_G3;43704;0;2,78840156939653;5,70745867963088;6,35214581441338;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43800;VJT547  ;CL60;Media;HP;Misma_SID_G1;43800;0;0,495831344151149;6,40299768509158;6,42212451632577;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43804;VJT547  ;CL60;Media;HP;Misma_SID_G1;43804;0;0,4245845868655;6,51104633243899;6,52483332248622;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43808;VJT547  ;CL60;Media;HP;Misma_SID_G1;43808;0;0,379017948731136;6,61343519860746;6,6242457007841;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43812;VJT547  ;CL60;Media;HP;Misma_SID_G1;43812;0;0,361875304680421;6,70241112956956;6,71213224198956;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43816;VJT547  ;CL60;Media;HP;Misma_SID_G1;43816;0;0,363468644510302;6,78898686126138;6,79866906282814;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43820;VJT547  ;CL60;Media;HP;Misma_SID_G1;43820;0;0,372752323756796;6,87982582396593;6,88987618101314;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43824;VJT547  ;CL60;Media;HP;Misma_SID_G1;43824;0;0,382378765637085;6,97631553772528;6,98674705247935;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43828;VJT547  ;CL60;Media;HP;Misma_SID_G1;43828;0;0,381436845936975;7,07378106941839;7,08401807351641;3.0;N/A;5;True; N/A ;True
THY7DT  ;A21N;Media;R;Misma_SID_G3;43832;VJT547  ;CL60;Media;HP;Misma_SID_G1;43832;0;0,368430262170939;7,17432322050277;7,18373795726158;3.0;N/A;5;True; N/A ;True
